sentence,labels
he pleaded for her forgiveness but janet’s heart was cold iron.,0
dreams like ghosts must hide away; / ‘tis the day.,1
the people who still lived in the town were stuck in place like wax statues.,1
the sun is a golden ball.,0
what storms then shook the ocean of my sleep.,0
when he reached the top of the hill he felt as strong as a steel gate.,1
the computers at school are old dinosaurs.,0
cameron always had a taste for the fruit of knowledge.,0
this job is the cancer of my dreams and aspirations.,0
the history paper was as tricky as a labyrinth.,1
though they knew it not their baby’s cries were lovely as jeweled butterflies.,1
a fatal letter wings its way across the sea like a bird of prey.,1
the path of resentment is easier to travel than the road to forgiveness.,0
let your eyes drink up that milkshake sky.,0
the light flows into the bowl of the midnight sky violet amber and rose.,0
each face was like the setting sun / as broad and red.,1
the promise between us was a delicate flower.,0
you are now in london that great sea whose ebb and flow at once is deaf and loud,0
my soul was a lampless sea and she was the tempest.,0
in capitalism money is the life blood of society but charity is the soul.,0
we are all shadows on the wall of time.,0
the river flows like a stream of glass,1
the world is a stage.,0
she was as distant as a remote tropical island uncivilized unspoiled.,1
at night the lake is a wide silence without imagination.,0
i was sick of all the sorrow and distress that flourished in the city like foul deeds.,1
your brain is a computer.,0
the child was our lone prayer to an empty sky.,0
the classroom was a zoo.,0
gary is a mule.,0
the horse-chestnuts dropped their buds like tears.,1
toby manipulated the people in his life as though they were chess pieces.,1
i have seen old ships sail like swans asleep.,1
at exam time the high school student was as busy as a bee.,1
my big brother is a couch potato.,0
when in the mines of dark and silent thought / sometimes i delve and find strange ancies there,0
my mother’s kitchen was like a holy place: you couldn’t wear your shoes you had to it there at a certain time and occasionally we’d pray.,1
when ninja robot squad came on tv the boys were glued in their seats.,0
talk of your cold: through the parka’s fold it stabbed like a driven nail.,1
he is a walking dictionary.,0
the curtains stir as with an ancient pain.,1
those two best friends are two peas in a pod.,0
the drums of time have rolled and ceased.,0
i flitted like a dizzy moth.,1
his words were cotton candy.,0
she was just a trophy to ricardo another object to possess.,0
the man held the blanket like a memory.,1
the truth was like a bad taste on his tongue.,1
the book was an addiction-i couldnt put it down.,0
what passing-bells for these who die as cattle?,1
a mist about your beauty clings like a thin cloud before a star.,1
andre charged down the football field like it was the war of 1812.,1
the thunder was a mighty lion.,0
at five o’clock the interstate was a parking lot.,0
the classroom was as quiet as a tongue-tied librarian in a hybrid car.,1
the gray moss drapes us like sages.,1
necessity is the mother of invention.,0
so in this dimmer room which we call life,0
